	conditionID	data_rep	fit_rep	loglik	lmax	ncat	ntips	nOGs	cpy_change_rates	cpy_root_probs	cat_switch_rates	cat_root_probs
83	cond09	4	8	-742589.2755564556	2	3	128	16000	0.01410567769089204	0.009357043043117108	0.2660472913580394	0.00508611415122473
84	cond09	5	2	-665650.6557117866	2	3	128	16000	0.014523456784570834	0.009354747425709228	0.11053450646120046	0.0014009738579081887
85	cond09	6	10	-882527.556967207	2	3	128	16000	0.008801269814561105	0.016545868801035476	1.1392684623776634	0.008111957408210468
86	cond09	7	10	-940026.9656212243	2	3	128	16000	0.012269421633756819	0.012657647752114152	0.39021996827060074	0.034814947769212956
87	cond09	8	4	-996026.9017174221	2	3	128	16000	0.021108668128345304	0.006536743217532416	0.7483506321894411	0.008077336007667413
88	cond09	9	6	-865497.6548778691	2	3	128	16000	0.017073306876828242	0.021091506094940805	0.8301927661415281	0.014139586401055726
89	cond09	10	4	-821841.6101474692	2	3	128	16000	0.010703890455627418	0.013143843018861928	0.24147029695839403	0.013660437546320903
90	cond10	1	9	-165416.09874705298	2	1	128	4000	0.010925965803929821	0.02050338229207982		
91	cond10	2	8	-220910.0254631209	2	1	128	4000	0.003019679548417531	0.013940318108132399		
92	cond10	3	3	-216248.09675837748	2	1	128	4000	0.009458408435702892	0.008086419934067363		
93	cond10	4	2	-269695.20032457256	2	1	128	4000	0.0043180884681874865	0.012794864963795283		
94	cond10	5	3	-219377.90396083822	2	1	128	4000	0.003610418244778979	0.0008105615993989068		
95	cond10	6	7	-129188.19847634256	2	1	128	4000	0.016375399894938553	0.00327445097203187		
96	cond10	7	2	-187870.1600670942	2	1	128	4000	0.006356861154028781	0.013387085503799634		
97	cond10	8	2	-272317.0766958861	2	1	128	4000	0.0049893510739173474	0.009688422301441346		
98	cond10	9	5	-175557.67830579518	2	1	128	4000	0.009466630810406523	0.011899192087915011		
99	cond10	10	10	-212333.35931531998	2	1	128	4000	0.004478262241436909	0.02170338619365006		
100	cond11	1	5	-146565.0795461338	2	2	128	4000	0.025123722585326705	0.03167611074729429	0.4952094063327936	0.0035146899198448267
101	cond11	2	5	-214806.25033478445	2	2	128	4000	0.008159461745475438	0.017903134307931223	0.8188384493551433	0.012346101949167743
102	cond11	3	3	-172078.43994111058	2	2	128	4000	0.01893942538084721	0.03210327690603601	0.3213063945348094	0.011851630885075182
103	cond11	4	2	-178283.28755990858	2	2	128	4000	0.011261599250864548	0.012138758732722132	0.12404747537910166	0.006877649397979746
104	cond11	5	8	-206031.8367212228	2	2	128	4000	0.014887747852422487	0.026010730230275073	1.103078765490854	0.01823485097612698
105	cond11	6	7	-206670.06313619096	2	2	128	4000	0.020491888639204786	0.02197099324420191	0.7585815267476725	0.03626006446879548
106	cond11	7	2	-180348.24108013662	2	2	128	4000	0.024124726293146465	0.020355364224732345	1.2143454103573217	0.0015124807089909598
107	cond11	8	2	-167315.5808791492	2	2	128	4000	0.018873653245212646	0.02416144763694271	0.31291717079090525	0.006702088478481971
108	cond11	9	4	-151628.17947755425	2	2	128	4000	0.047475820763950086	0.010936156923737304	1.586270731634301	0.006607206500163332
109	cond11	10	2	-220101.69271083406	2	2	128	4000	0.03180539174519724	0.027937080074240506	2.551553078052814	0.0600559643122941
110	cond12	1	6	-169417.1060320559	2	4	128	4000	0.06854502836436335	0.032619161582646	1.11307877748075	0.020942961085299167
111	cond12	2	10	-230812.73134255648	2	4	128	4000	0.026270651742913015	0.05519615135765246	1.0037777764711178	0.037342856415879255
112	cond12	3	5	-195550.23916155763	2	4	128	4000	0.05863270636192187	0.03377602443652361	1.01456834797588	0.04556505084051421
113	cond12	4	9	-181788.55063048296	2	4	128	4000	0.10254451898255221	0.14556691321995863	4.513774451239976	0.12745951030922067
114	cond12	5	4	-203826.5136640746	2	4	128	4000	0.038520475446127134	0.04460311539328251	1.792003736940944	0.03181322295306879
115	cond12	6	7	-219328.2315284996	2	4	128	4000	0.026194700584958777	0.092542964338185	0.5503569484050771	0.07137606433564911
116	cond12	7	6	-189407.935679324	2	4	128	4000	0.045616345164621354	0.024286689010990306	0.8632690460115922	0.00871750166189783
117	cond12	8	3	-240022.61260447046	2	4	128	4000	0.05705913214776931	0.04933105396004279	1.4814823799986538	0.04090096017220221
118	cond12	9	3	-219483.02899373553	2	4	128	4000	0.036437776980312954	0.06951444767832904	1.1050252572110684	0.025714232833411177
119	cond12	10	4	-177742.28073398938	2	4	128	4000	0.03944461081685698	0.09092522849199272	0.7460420509427991	0.04621842278330349
120	cond13	1	1	-202922.86008187034	2	5	128	4000	0.07060642560697786	0.07923294461689213	2.507818774702238	0.014130040783353504
121	cond13	2	4	-186055.03278645792	2	5	128	4000	0.08083928573163676	0.07854821663067912	1.2161862046323684	0.06565063292820889
122	cond13	3	1	-178123.10780248776	2	5	128	4000	0.0927924943543553	0.04768095192958759	1.1643625133351412	0.038789155490121824
123	cond13	4	10	-185997.13607007242	2	5	128	4000	0.0758449823446551	0.06366587380782883	0.9063201718145157	0.027681501287990434
124	cond13	5	6	-195390.95811024308	2	5	128	4000	0.05797994102436867	0.1412384007815731	0.9669763095386076	0.09995207376107978
125	cond13	6	7	-212072.40737802308	2	5	128	4000	0.05636030621543124	0.05349506034299586	1.227892216944394	0.02091505022118867
126	cond13	7	3	-189530.50768767126	2	5	128	4000	0.3654950026774523	0.4200702847079363	1.03952859311324	0.4035968423920562
127	cond13	8	7	-169819.204821195	2	5	128	4000	0.18587302626635385	0.2359444970666004	1.464643917410691	0.2624724070896066
128	cond13	9	7	-169467.35206912638	2	5	128	4000	0.06684653629506798	0.06539073433723662	0.9344226229516817	0.037568086573113973
129	cond13	10	10	-163327.8261882245	2	5	128	4000	0.0955755236712673	0.060401134132766834	2.6038811080943716	0.0733769111168984
